name,team,number,position,age,height,weight,college,salary
avery bradley,Boston Celtics,0.0,PG,25,6-2,180.0,Texas,7730337.0
jae crowder,Boston Celtics,99.0,SF,25,6-6,235.0,Marquette,6796117.0
john holland,Boston Celtics,30.0,SG,27,6-5,205.0,Boston University,
r.j. hunter,Boston Celtics,28.0,SG,22,6-5,185.0,Georgia State,1148640.0
jonas jerebko,Boston Celtics,8.0,PF,29,6-10,231.0,,5000000.0
amir johnson,Boston Celtics,90.0,PF,29,6-9,240.0,,12000000.0
jordan mickey,Boston Celtics,55.0,PF,21,6-8,235.0,LSU,1170960.0
kelly olynyk,Boston Celtics,41.0,C,25,7-0,238.0,Gonzaga,2165160.0
terry rozier,Boston Celtics,12.0,PG,22,6-2,190.0,Louisville,1824360.0
marcus smart,Boston Celtics,36.0,PG,22,6-4,220.0,Oklahoma State,3431040.0
jared sullinger,Boston Celtics,7.0,C,24,6-9,260.0,Ohio State,2569260.0
isaiah thomas,Boston Celtics,4.0,PG,27,5-9,185.0,Washington,6912869.0
evan turner,Boston Celtics,11.0,SG,27,6-7,220.0,Ohio State,3425510.0
james young,Boston Celtics,13.0,SG,20,6-6,215.0,Kentucky,1749840.0
tyler zeller,Boston Celtics,44.0,C,26,7-0,253.0,North Carolina,2616975.0
bojan bogdanovic,Brooklyn Nets,44.0,SG,27,6-8,216.0,,3425510.0
markel brown,Brooklyn Nets,22.0,SG,24,6-3,190.0,Oklahoma State,845059.0
wayne ellington,Brooklyn Nets,21.0,SG,28,6-4,200.0,North Carolina,1500000.0
rondae hollis-jefferson,Brooklyn Nets,24.0,SG,21,6-7,220.0,Arizona,1335480.0
jarrett jack,Brooklyn Nets,2.0,PG,32,6-3,200.0,Georgia Tech,6300000.0
sergey karasev,Brooklyn Nets,10.0,SG,22,6-7,208.0,,1599840.0
sean kilpatrick,Brooklyn Nets,6.0,SG,26,6-4,219.0,Cincinnati,134215.0
shane larkin,Brooklyn Nets,0.0,PG,23,5-11,175.0,Miami (FL),1500000.0
brook lopez,Brooklyn Nets,11.0,C,28,7-0,275.0,Stanford,19689000.0
chris mccullough,Brooklyn Nets,1.0,PF,21,6-11,200.0,Syracuse,1140240.0
willie reed,Brooklyn Nets,33.0,PF,26,6-10,220.0,Saint Louis,947276.0
thomas robinson,Brooklyn Nets,41.0,PF,25,6-10,237.0,Kansas,981348.0
